,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
146,EDMILSON BORGES DO NASCIMENTO,EDMILSON BORGES,ITAJUÍPE,PODE,ELEITO POR MÉDIA,452,0.0,0.0
147,ELISA PAIXÃO DO NASCIMENTO,ELISA  DE DOMINGAS,GOVERNADOR MANGABEIRA,PSD,ELEITO POR QP,451,0.0,0.0
148,LEANDRO JOSÉ BASTOS SILVA,LEO PACAPIM,SALINAS DA MARGARIDA,PSD,ELEITO POR QP,450,0.0,200.0
149,ZEZITO FRANCISCO PEREIRA,ZEZITO PEREIRA,OLIVEIRA DOS BREJINHOS,PP,ELEITO POR MÉDIA,450,0.0,6408.0
150,RUMÃO GALDINO SOBRINHO,RUMÃO,CAFARNAUM,PSB,ELEITO POR QP,450,0.0,0.0
151,WANDERSON DA ROCHA LEITE,DR WANDERSON ADVOGADO,PRADO,PROS,ELEITO POR MÉDIA,448,0.0,128.0
152,ANTONIO CARLOS PEREIRA DOS SANTOS,TOINHO DE JULIÃO,ARAMARI,PP,ELEITO POR QP,447,0.0,161.01
153,JOSE VANDERLON DA SILVA TEIXEIRA,ROCHA,SÃO DOMINGOS,PSD,ELEITO POR QP,446,0.0,4200.0
154,MANUEL JOSE DA SILVA,ZEZITINHO,APORÁ,DEM,ELEITO POR QP,444,0.0,200.0
155,ADALIRIO SANTOS DE SOUZA,ADALÍRIO RANCHO ALEGRE,CARAVELAS,DC,ELEITO POR QP,443,0.0,561.5
156,MOURIVAL SANTIAGO DA SILVA,MOURIVAL SANTIAGO,ITAETÉ,PC do B,ELEITO POR QP,442,0.0,860.0
157,MANOEL CARLOS ALMEIDA SANTOS,CARLOS DE SANTA RITA,BOQUIRA,PSB,ELEITO POR MÉDIA,442,0.0,1304.0
158,ADEMILTON DE JESUS,HÉLIO DO CAJÁ,IBIRAPITANGA,PP,ELEITO POR QP,441,0.0,1337.0
159,ISRAEL JOSE DA SILVA,ISRAEL SILVA,BURITIRAMA,PP,ELEITO POR MÉDIA,438,0.0,1250.0
160,MARLENE GOMES MARTINS,MARLENE,IPUPIARA,PP,ELEITO POR QP,438,0.0,1000.0
161,CLADSON JOSE ALVES DURÃES,KAKA,GENTIO DO OURO,PSD,ELEITO POR MÉDIA,432,0.0,1000.0
162,MARCOS FLAVIO FRANÇA BATISTA,FLAVINHO CORRERIA,AMÉLIA RODRIGUES,PP,ELEITO POR QP,431,0.0,0.0
163,MARINALVA  PALMEIRA DA  SILVA,MARINALVA MÃE DE GUEGUEL,CONCEIÇÃO DA FEIRA,PP,ELEITO POR MÉDIA,424,0.0,9180.0
164,MARCICLEI DO CARMO ALMEIDA,MARCICLEI,PRADO,PP,ELEITO POR QP,424,0.0,128.0
165,JOSÉ RAMOS FERREIRA,ZEZINHO DE CLEÓ,SANTA LUZIA,PP,ELEITO POR QP,423,0.0,543.4200000000001
166,ANTONIO ALVES GUIMARAES NETO,NETO DE ADELMÁRIO,TEOLÂNDIA,PP,ELEITO POR QP,423,0.0,0.0
167,ERNANDES DE SOUZA SILVA,CAPOEIRA,ARAÇÁS,DEM,ELEITO POR QP,423,0.0,2473.58
168,ANDRE CARLOS CONCEIÇÃO DOS SANTOS,DÉO DA AMBULÂNCIA,ITUBERÁ,PSDB,ELEITO POR QP,423,0.0,160.0
169,LUCAS PIRES DOS SANTOS,LUCAS PIRES,AMÉLIA RODRIGUES,PC do B,ELEITO POR QP,422,0.0,0.0
170,DJONE BATISTA DOS SANTOS,DJONE SANTOS,ITACARÉ,PSB,ELEITO POR MÉDIA,421,0.0,700.0
171,ADERLANDO DE JESUS FREITAS,POPO DO OVO,SANTA CRUZ CABRÁLIA,PP,ELEITO POR QP,420,0.0,950.0
172,IVANILDO SOUZA SILVA,VAN DE CHICO,RODELAS,PP,ELEITO POR QP,418,0.0,3135.0
173,BARTOLOMEU GUIMARÃES COSTA,BETO,MURITIBA,PSB,ELEITO POR QP,417,0.0,0.0
174,ANDRE VINICIUS SOUZA COSTA,VINICIUS DE BARAU,CAMAMU,REPUBLICANOS,ELEITO POR QP,417,0.0,2779.0
175,JOSÉ AUDEMÁRIO OLIVEIRA HAYNE,MALINHO,ITABERABA,PL,ELEITO POR MÉDIA,412,0.0,560.0
176,ISRAEL JESUS DA SILVA,ISRAEL,CABACEIRAS DO PARAGUAÇU,PSD,ELEITO POR MÉDIA,412,0.0,0.0
177,HETIANE ALVES DO NASCIMENTO,HETIENE DO ENTRONCAMENTO DE CR,OLINDINA,PSB,ELEITO POR QP,412,0.0,2941.35
178,GERSON MARQUES GUIMARÃES,GERSON ,SÃO JOSÉ DO JACUÍPE,PROS,ELEITO POR QP,412,0.0,0.0
179,JAILTON EVANGELISTA DOS SANTOS,JAILTON,MANSIDÃO,PSB,ELEITO POR QP,410,0.0,0.0
180,VALDIR SANTOS DE JESUS,VALDIR,NILO PEÇANHA,DEM,ELEITO POR QP,409,0.0,1200.0
181,CLAUDIA RIBEIRO DE ALMEIDA VITAL,CLAUDIA DA SAÚDE,RIACHÃO DAS NEVES,PSD,ELEITO POR QP,408,0.0,91.85
182,ROQUELINA RODRIGUES DE SOUZA,ROQUINHA,SÃO FÉLIX,DEM,ELEITO POR QP,408,0.0,203.0
183,IVANY MARIA DA SILVA,IVANY DE NIAKA,RODELAS,PP,ELEITO POR QP,407,0.0,3135.0
184,GIRLEI LIMA NAZARETH,GIRLEI LAGE,SANTA CRUZ CABRÁLIA,PV,ELEITO POR MÉDIA,407,0.0,0.0
185,MOISES REIS DO LAGO,MOISES LAGO,CACHOEIRA,PODE,ELEITO POR MÉDIA,407,0.0,0.0
186,ADAILTON SOUZA RIBEIRO,DADAI DE VITA,MILAGRES,DEM,ELEITO POR QP,406,0.0,1650.0
187,JOÃO BATISTA RIBEIRO CERQUEIRA,BATISTA,BARRA DO CHOÇA,PSD,ELEITO POR QP,403,0.0,0.0
188,JOTAMAR FERREIRA SANTOS,JOTAMAR,SANTANÓPOLIS,PP,ELEITO POR QP,402,0.0,563.0
189,CARLOS ANDRE SOUZA DA MATA,ANDRE,SÃO FÉLIX,DEM,ELEITO POR QP,401,0.0,203.0
190,POLISVAN DA SILVA SANTOS,POLISVAN PRODUÇÕES,SANTA BRÍGIDA,PP,ELEITO POR QP,401,0.0,1280.0
191,MARLON FERREIRA CERQUEIRA SANTOS,MARLON FERREIRA,ÁGUA FRIA,PL,ELEITO POR QP,401,0.0,0.0
192,MAURIVAN JOAQUIM DO RÊGO,MAURIVAN,BAIANÓPOLIS,PL,ELEITO POR QP,400,0.0,0.0
193,NILSON RODRIGUES DOS SANTOS,NILSON DO CARDOSO,BIRITINGA,PC do B,ELEITO POR QP,399,0.0,512.0
194,FABIO DIAS DOS SANTOS SANTANA,FABIO DIAS,RIACHÃO DAS NEVES,PTB,ELEITO POR MÉDIA,398,0.0,94.85
195,COSME GOMES DE CARVALHO,IRMÃO CONGUINHA,SANTA LUZIA,PP,ELEITO POR MÉDIA,398,0.0,543.4200000000001
196,ANTONIO EDUARDO SANTANA DA RESSURREIÇÃO,PROFESSOR BOLOCA,PRADO,REPUBLICANOS,ELEITO POR QP,396,0.0,0.0
197,AMADEU DE JESUS OLIVEIRA,AMADEU,ITAETÉ,SOLIDARIEDADE,ELEITO POR MÉDIA,396,0.0,860.0
198,JOSÉ BORGES DOS SANTOS,ZÉ BORGES,TEOLÂNDIA,PT,ELEITO POR QP,396,0.0,227.25
199,PEDRO D ANGELO DE SOUZA,PEDRÃO,LAJEDO DO TABOCAL,PP,ELEITO POR QP,396,0.0,300.0
200,GRACIANO DOURADO DE SOUZA,GRACIANO DE ZELENO,SANTA BRÍGIDA,PP,ELEITO POR QP,395,0.0,1280.0
201,GENILSON SEVERO DE SOUZA,GENILSON DA LAGOA,CAFARNAUM,PSB,ELEITO POR MÉDIA,393,0.0,0.0
202,PERGENTINO MAIA FILHO,PREJINHO,FILADÉLFIA,DEM,ELEITO POR MÉDIA,391,0.0,800.0
203,JOSELICE BISPO SACRAMENTO,LICE DE ABEL,CABACEIRAS DO PARAGUAÇU,PP,ELEITO POR QP,390,0.0,0.0
204,ADANITO JOSÉ DE SOUZA,BIO DE GUILHERMINO,MULUNGU DO MORRO,PSD,ELEITO POR QP,390,0.0,100.0
205,WASHINGTON LUIZ CARDOSO DANTAS,RONE CARDOSO,ARAMARI,PP,ELEITO POR QP,390,0.0,161.01
206,CARLOS ALBERTO RODRIGUES DA FONSECA,FONSECA,ARAMARI,PC do B,ELEITO POR QP,389,0.0,161.01
207,AVELINO FRANCISCO DE JESUS,AVELINO FRANCISCO,TEOLÂNDIA,PP,ELEITO POR QP,387,0.0,0.0
208,KYMURA DOURADO YOSHIDA,KYMURA   DOURADO,AMÉRICA DOURADA,PSDB,ELEITO POR QP,385,0.0,0.0
209,JAIRO DOS SANTOS,JAIRO DA SODOMA,MUNIZ FERREIRA,PSC,ELEITO POR QP,382,0.0,900.0
210,ROBERTO SANTOS DE ARAUJO,ROBERTO DE SANTANA,CONCEIÇÃO DO ALMEIDA,PL,ELEITO POR QP,382,0.0,0.0
211,JULIANA FRAGA E CHAGAS,JULIANA CHAGAS,ARATACA,PP,ELEITO POR QP,381,0.0,0.0
212,NIZILDA NASCIMENTO CORREIA DOS SANTOS,NIZILDA DE ERASMO,MILAGRES,DEM,ELEITO POR MÉDIA,379,0.0,700.0
213,DELCIK DE SOUZA OLIVEIRA,DEL DE TOCOS,ANTÔNIO CARDOSO,PT,ELEITO POR QP,378,0.0,200.0
214,LARYSSA SALLES SOUZA,LARYSSA DE MAURÍCIO,ARATACA,PP,ELEITO POR QP,378,0.0,0.0
