,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA,VR_VOTO
17112,MARIANE DE CARVALHO COSTA,MARIANE COSTA,SENTO SÉ,PSDB,SUPLENTE,123,0.0,0.0,0.0
17109,AMARA CATARAIRA RIBEIRO LOPES PENHA,AMARA,SENTO SÉ,PSDB,SUPLENTE,1,0.0,0.0,0.0
17108,JUCELINO DE CASTRO MUNIZ,CELINO DA GUARDA,SENTO SÉ,PSDB,SUPLENTE,8,0.0,0.0,0.0
17106,ELYABE LOPES RIBEIRO BARROS,ELYABE BARROS,SENTO SÉ,PSDB,ELEITO POR QP,775,0.0,0.0,0.0
17105,ANTELMO MAURICIO DOS SANTOS,ANTELMO,SENTO SÉ,PSDB,SUPLENTE,96,0.0,0.0,0.0
17104,JOELMA SERTÃO DE OLIVEIRA,JOELMA SERTÃO,SENTO SÉ,PSDB,SUPLENTE,122,0.0,0.0,0.0
19746,ANTONIO CARLOS ANDRADE DOS SANTOS,TELÊ DOS SARGENTO,JACOBINA,CIDADANIA,SUPLENTE,109,0.0,0.0,0.0
17103,BENEDITO SIRQUEIRA EVANGELISTA,BENEDITO SIRQUEIRA,SENTO SÉ,PSDB,SUPLENTE,48,0.0,0.0,0.0
17102,ANATALIA FERREIRA DOS SANTOS TEIXEIRA,NATHY,MUNDO NOVO,AVANTE,NÃO ELEITO,12,0.0,500.0,0.0
17100,CLEONILZA GOMES DA SILVA BRAGA,NILZA,MUNDO NOVO,AVANTE,NÃO ELEITO,92,0.0,500.0,0.0
17099,VINICIUS CERQUEIRA DA SILVA,VINICIUS,MUNDO NOVO,AVANTE,NÃO ELEITO,193,0.0,500.0,0.0
17096,LUIS EDUARDO BISPO DA SILVA,ZEZÃO,MUNDO NOVO,AVANTE,NÃO ELEITO,45,0.0,0.0,0.0
17095,ALEXANDRO MATOS DE ALMEIDA,SANDRO DA VERDURA,MUNDO NOVO,AVANTE,NÃO ELEITO,164,0.0,500.0,0.0
17089,PATRÍCIA DA SILVA SANTOS,PATRÍCIA DA JUREMA,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,55,0.0,0.0,0.0
17114,EDNA DOS REIS ROCHA,EDNA REIS,SENTO SÉ,PSDB,SUPLENTE,2,0.0,0.0,0.0
17088,MAÍRA RIBEIRO COELHO,MAÍRA DOS PATOS,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,62,0.0,0.0,0.0
17087,NEILOR MONTEIRO LIMA,NEI MEU SANTO,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,262,0.0,0.0,0.0
17085,ELISBETE DE FÁTIMA REGO SOUSA ALVES,FAINHA,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,28,0.0,242.0,0.0
17084,ALISSON MARCEL CORDEIRO ALVES,ALISSON DE JOÃOZINHO,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,645,0.0,0.0,0.0
17083,CLAUDECI GLICIA MEIRA GOMES,CICI MEIRA,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,34,0.0,50.0,0.0
17082,IVALNEI CARLOS DA SILVA,VALNEI DA VÁRZEA,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,265,0.0,290.0,0.0
19767,DONIZETE BATISTA NOGUEIRA,DONIZETE,ENCRUZILHADA,PT,NÃO ELEITO,35,0.0,0.0,0.0
17080,TAMYRES RAINNE ANDRADE VASCONCELOS,TAMYRES ANDRADE,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,88,0.0,720.0,0.0
17079,MÁRIO SÉRGIO DE LIMA SOUZA,CÉU,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,287,0.0,895.0,0.0
17078,MARIA JOSÉ DA SILVA BRITO,PROFESSORA MARIA BRITO,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,81,0.0,255.0,0.0
